Дата игры,Название команды,Количество игроков,Номер стола,Раунд 1,Раунд 2,Раунд 3,Раунд 4,Раунд 5,Раунд 6,Раунд 7,Итоговый счет,Место в игре,Источник
7/18/2025,BiMO,4,8,6,5,4,5,2,4,12,38,6,Квиз_18.07.2025
7/18/2025,Стол №1,4,1,2,6,3,2,4,3,11,31,7,Квиз_18.07.2025
7/18/2025,сильно ву пле,2,3,3,6,2,4,4,3,7,29,8,Квиз_18.07.2025
7/25/2025,Не смотрите наверх,6,4,4,6,5,5,4,4,20,48,1,Квиз_25.07.2025
7/25/2025,Люди Короля,4,3,5,6,5,6,0,3,21,46,2,Квиз_25.07.2025
7/25/2025,Нашатырь,5,6,5,7,4,6,2,4,17,45,3,Квиз_25.07.2025
7/25/2025,Испанский стыд,7,1,4,7,4,5,0,4,19,43,4,Квиз_25.07.2025
7/25/2025,Импровизация,5,5,2,5,3,4,0,3,19,36,5,Квиз_25.07.2025
7/25/2025,BIMO,4,8,4,5,5,5,2,2,10,33,6,Квиз_25.07.2025
7/25/2025,Мозг в аренде,4,9,5,5,3,2,2,3,12,32,7,Квиз_25.07.2025
7/25/2025,Соседи и пиво,2,7,3,4,4,2,0,1,2,16,8,Квиз_25.07.2025
8/1/2025,Фужер,2,7,4,5,4,3,4,5,7,32,1,Квиз_01.08.2025
8/1/2025,Люди Короля,5,5,3,4,3,2,4,5,9,30,2,Квиз_01.08.2025
8/1/2025,BIMO,4,9,3,5,3,1,4,3,6,25,3,Квиз_01.08.2025
8/1/2025,Стол №1,6,1,1,2,1,1,5,4,3,17,4,Квиз_01.08.2025
8/1/2025,Не смотрите наверх,4,6,1,3,2,2,2,2.5,3,15.5,5,Квиз_01.08.2025
8/1/2025,СНТ Прокшино,5,8,4,3,0,0,4,4,-1,14,6,Квиз_01.08.2025
8/1/2025,Импровизация,3,3,2,3,0,0,3,2.5,0,10.5,7,Квиз_01.08.2025
8/1/2025,Испанский стыд,6,4,1,2,0,0,2,1,1,7,8,Квиз_01.08.2025
8/1/2025,стол 2 Бронь,0,,0,0,0,0,0,0,0,0,9,Квиз_01.08.2025
8/8/2025,Нашатырь,5,6,8,6,4,2.5,4,2,13,39.5,1,Квиз_08.08.2025
8/8/2025,Люди Короля,5,9,6,5,6,1.5,2,4,13,37.5,2,Квиз_08.08.2025
8/8/2025,Не смотрите наверх,8,1,5,6,5,3,2,5,10,36,3,Квиз_08.08.2025
8/8/2025,Стол №1,6,4,4,2,3,3,6,2,7,27,4,Квиз_08.08.2025
8/8/2025,BIMO,4,5,6,4,2,1.5,0,4,8,25.5,5,Квиз_08.08.2025
8/8/2025,Юнион,3,8,6,2,4,2.5,0,2,3,19.5,6,Квиз_08.08.2025
8/8/2025,Испанский стыд,3,3,5,4,2,0,2,0,5,18,7,Квиз_08.08.2025
8/15/2025,Люди Короля,5,6,7,8,5,9,6,5,20,60,1,Квиз_15.08.2025
8/15/2025,BIMO,3,4,5,4,3,6,2,4,15,39,3,Квиз_15.08.2025
8/15/2025,Союз,4,1,5,1,4,3,0,2,2,17,5,Квиз_15.08.2025
8/15/2025,Импровизация,3,5,7,7,3,6,0,4,17,44,2,Квиз_15.08.2025
8/15/2025,Синячий патруль,2,3,6,7,3,4,2,2,8,32,4,Квиз_15.08.2025
8/15/2025,стол 2 бронь,0,,0,0,0,0,0,0,0,0,6,Квиз_15.08.2025
8/22/2025,Нашатырь,6,6,5,6,4,2.5,2,4,15,38.5,1,Квиз_22.08.2025
8/22/2025,Не смотрите наверх,6,4,6,5,6,2,4,5,3,31,2,Квиз_22.08.2025
8/22/2025,Стол №1,8,"1,2",4,2,4,1,2,3,9,25,3,Квиз_22.08.2025
8/22/2025,Импровизация,6,5,5,5,5,0,2,2,4,23,4,Квиз_22.08.2025
8/22/2025,BIMO,3,8,5,4,1,0.5,2,3,6,21.5,5,Квиз_22.08.2025
8/22/2025,Испанский стыд,4,3,7,3,3,1.5,0,3,3,20.5,6,Квиз_22.08.2025
8/22/2025,Вы Уху Ели?,5,9,0,0,0,0,0,0,0,0,7,Квиз_22.08.2025
8/29/2025,Нашатырь,6,9,7,5,4,7,4,5,16,48,1,Квиз_29.08.2025
8/29/2025,Не смотрите наверх,4,6,5,5,5,4.5,2,2,15,38.5,2,Квиз_29.08.2025
8/29/2025,Гренки,3,3,5,2,4,6.5,0,0,17,34.5,3,Квиз_29.08.2025
8/29/2025,Мазган,4,8,5,2,4,4.5,4,4,10,33.5,4,Квиз_29.08.2025
8/29/2025,Испанский стыд,7,4,5,4,5,4,2,4,9,33,5,Квиз_29.08.2025
8/29/2025,Стол №1,6,1,6,1,3,3.5,0,4,11,28.5,6,Квиз_29.08.2025
8/29/2025,Синячий патруль,2,7,6,2,2,3,4,3,8,28,7,Квиз_29.08.2025
8/29/2025,Импровизация,6,5,4,2,4,3.5,4,2,6,25.5,8,Квиз_29.08.2025
9/5/2025,Люди Короля,5,9,7,6,4,6,6,5,17,51,1,Квиз_05.09.2025
9/5/2025,Нашатырь,6,4,6,6,1,5.5,4,4,11,37.5,2,Квиз_05.09.2025
9/5/2025,Не смотрите наверх,4,6,4,7,2,3.5,2,2,15,35.5,3,Квиз_05.09.2025
9/5/2025,Испанский стыд,4,2,3,6,3,4.5,2,4,11,33.5,4,Квиз_05.09.2025
9/5/2025,Союз Гренок,4,3,5,5,2,4,2,2,9,29,5,Квиз_05.09.2025
9/5/2025,Стол №1,6,1,6,5,1,3.5,2,3,8,28.5,6,Квиз_05.09.2025
9/7/2025,Не смотрите наверх,8,4,6,5,5,5,5,4,17,47,1,Квиз_07.09.2025
9/7/2025,Люди Короля,4,5,4,4,6,5,4,4,9,36,2,Квиз_07.09.2025
9/7/2025,Нашатырь,5,6,3,1,5,5,5,6,11,36,3,Квиз_07.09.2025
9/7/2025,Испанский стыд,4,2,5,3,5,4,0,6,12,35,4,Квиз_07.09.2025
9/7/2025,Квиз who is,6,3,2,6,3,2,2,6,13,34,5,Квиз_07.09.2025
9/7/2025,Стол №1,6,1,4,3,4,2,3,3,5,24,6,Квиз_07.09.2025
