Дата игры,Название команды,Количество игроков,Номер стола,Раунд 1,Раунд 2,Раунд 3,Раунд 4,Раунд 5,Раунд 6,Раунд 7,Итоговый счет,Место в игре,Источник
1/4/2025,Импровизация,6,7,7,8,2,6,1,4,6,34,8,Квиз_04.01.2025
1/4/2025,Три товарища,4,1,6,5,1,4,3,5,13,37,6,Квиз_04.01.2025
1/4/2025,Гренки,3,бар,8,10,1,5,6,5,11,46,4,Квиз_04.01.2025
1/4/2025,Сулугуни лингус,2,2,3,9,0,4,2,2,11,31,9,Квиз_04.01.2025
1/10/2025,Нашатырь,4,4,4,3,5,7,4,6,8,37,1,Квиз_10.01.2025
1/10/2025,Не смотрите наверх,6,6,3,3,5,1,5,4,8,29,2,Квиз_10.01.2025
1/10/2025,Люди Короля,5,3,5,3,5,2,6,2,4,27,3,Квиз_10.01.2025
1/10/2025,Импровизация,7,7,2,5,6,1,1,2,8,25,4,Квиз_10.01.2025
1/10/2025,Тяпа и Тяпа,3,8,5,2,5,1,5,2,3,23,5,Квиз_10.01.2025
1/10/2025,Стол №1,2,2,4,3,3,0,4,4,5,23,6,Квиз_10.01.2025
1/10/2025,ДАбра нИжди,4,9,4,2,3,1,4,2,5,21,7,Квиз_10.01.2025
1/10/2025,Не сегодня,2,бар,2,3,3,0,4,2,7,21,8,Квиз_10.01.2025
1/10/2025,Гренки,0,1,5,2,5,-2,5,2,2,19,9,Квиз_10.01.2025
1/10/2025,Ход конём,4,5,3,2,2,-2,2,0,2,9,10,Квиз_10.01.2025
1/31/2025,Люди Короля,5,4,5,5,2,8,5,2,12,39,1,Квиз_31.01.2025
1/31/2025,Не смотрите наверх,6,8,3,4,4,7,5,0,15,38,2,Квиз_31.01.2025
1/31/2025,Импровизация,6,7,3,3,2,4,5,2,12,31,3,Квиз_31.01.2025
1/31/2025,Стол №1,6,6,4,3,3,1,5,2,10,28,4,Квиз_31.01.2025
1/31/2025,ДАбра нИжди,5,5,5,2,0,1,4,2,7,21,5,Квиз_31.01.2025
1/31/2025,Сургут,4,3,3,0,1,1,1,0,1,7,6,Квиз_31.01.2025
2/7/2025,Люди Короля,7,3,5,4,2,10,6,0,4,31,1,Квиз_07.02.2025
2/7/2025,Нашатырь,8,1,4,5,2,8,6,0,5,30,2,Квиз_07.02.2025
2/7/2025,Импровизация,6,7,4,3,1,6,5,0,6,25,3,Квиз_07.02.2025
2/7/2025,Не смотрите наверх,8,8,4,3,2,6,5,0,1,21,4,Квиз_07.02.2025
2/7/2025,ДАбра нИжди,6,5,3,2,1,2,6,0,7,21,5,Квиз_07.02.2025
2/7/2025,Гренки,3,бар,3,2,2,4,5,0,-3,13,6,Квиз_07.02.2025
2/7/2025,Стол №4,4,4,4,1,0,2,2,0,3,12,7,Квиз_07.02.2025
2/7/2025,Пикассо,5,1,3,0,1,1,1,0,1,7,8,Квиз_07.02.2025
2/14/2025,Люди Короля,6,3,10,10,9,39,8,5,10,18,2,Квиз_14.02.2025
2/14/2025,Не смотрите наверх,7,6,9,9,7,34,8,3,8,11,3,Квиз_14.02.2025
2/14/2025,Котики,2,1а,0,9,8,27,7,4.5,10,9,4,Квиз_14.02.2025
2/14/2025,Стол №1,8,8,9,10,5,33,5,2.5,9,5,5,Квиз_14.02.2025
2/14/2025,Ход конём,7,2,4,8,5,23,5,4,10,5,6,Квиз_14.02.2025
2/14/2025,Мирные жители,5,5,8,7,5,27,6,2.5,8,3,7,Квиз_14.02.2025
2/14/2025,Из-за гор,4,Бар,4,7,7,21,5,2,10,38,1,Квиз_14.02.2025
2/14/2025,ДАбра нИжди,5,1,5,7,4,22,4,2.5,7,1,10,Квиз_14.02.2025
2/14/2025,Импровизация,6,7,5,4,1,11,1,2.5,7,3,8,Квиз_14.02.2025
2/14/2025,Струя бобра,4,4,5,2,0,9,3,3,7,2,9,Квиз_14.02.2025
2/21/2025,Люди Короля,5,5,5,3,6,7,3,0,11,35,1,Квиз_21.02.2025
2/21/2025,Стол №1,8,8,6,5,3,5,2,0,12,33,2,Квиз_21.02.2025
2/21/2025,Нашатырь,6,6,5,4,2,4,2,2,8,27,3,Квиз_21.02.2025
2/21/2025,Не смотрите наверх,6,7,4,4,5,3,2,2,2,22,4,Квиз_21.02.2025
2/21/2025,Импровизация,4,4,4,2,1,3,1,0,8,19,5,Квиз_21.02.2025
2/28/2025,Люди Короля,5,3,4,3,3,9,5,4,9,37,1,Квиз_28.02.2025
2/28/2025,Нашатырь,6,6,5,5,4,8,6,2,7,37,2,Квиз_28.02.2025
2/28/2025,Импровизация,5,7,4,3,2,7,6,4,4,30,3,Квиз_28.02.2025
2/28/2025,Стол №1,8,8,3,4,2,6,4,2,5,26,4,Квиз_28.02.2025
2/28/2025,ДАбра нИжди,4,4,3,2,4,5,3,0,4,21,5,Квиз_28.02.2025
2/28/2025,Аллло,0,1,5,2,1,5,2,0,0,15,6,Квиз_28.02.2025
2/28/2025,На лавке,5,5,0,2,1,5,2,2,1,13,7,Квиз_28.02.2025
2/28/2025,Фурии,2,Бар,3,0,0,2,1,0,0,6,8,Квиз_28.02.2025
3/7/2025,Не смотрите наверх,6,6,5,5,6,6,6,0,12,40,1,Квиз_07.03.2025
3/7/2025,Люди Короля,5,5,4,6,6,3,6,0,11,36,2,Квиз_07.03.2025
3/7/2025,Стол №1,7,8,3,6,4,3,6,0,10,32,3,Квиз_07.03.2025
3/7/2025,Импровизация,6,7,3,4,1,3,6,0,12,29,4,Квиз_07.03.2025
3/7/2025,Три товарища,4,5,3,2,3,0,6,0,9,23,5,Квиз_07.03.2025
3/7/2025,Дофамин,3,3,3,2,4,2,4,0,1,16,6,Квиз_07.03.2025
3/7/2025,9Dok,4,1,3,2,1,3,3,0,3,15,7,Квиз_07.03.2025
